title,artist,weeks_in_top_40
Fishnet,Morris Day,6
Five O'Clock World,The Vogues,12
Flames Of Paradise,Jennifer Rush (Duet With Elton John),3
Flaming Star,Elvis Presley With The Jordanaires,5
Flamingo,Herb Alpert & The Tijuana Brass,4
Flash Light,Parliament,12
Flashdance...What A Feeling,Irene Cara,20
Flashing Lights,Kanye West Featuring Dwele,11
Flava In Ya Ear,Craig Mack,20
Flesh For Fantasy,Billy Idol,6
Flex,Mad Cobra,10
Flex,Polo G Featuring Juice WRLD,1
Flex (Ooh Ooh Ooh),Rich Homie Quan,20
Flight's Booked,Drake,1
Float On,The Floaters,11
Flood,Jars Of Clay,5
Flooded The Face,Lil Uzi Vert,1
Florida!!!,Taylor Swift Featuring Florence + The Machine,3
Flowers,Miley Cyrus,54
Flowers On The Wall,The Statler Brothers,9
Floy Joy,The Supremes,9
Fly,Nicki Minaj Featuring Rihanna,10
Fly Away,John Denver,9
Fly Away,Lenny Kravitz,22
Fly Like An Eagle,Steve Miller,15
"Fly Like An Eagle (From ""Space Jam"")",Seal,9
Fly Me To The Moon - Bossa Nova,Joe Harnell And His Orchestra,8
Fly Over States,Jason Aldean,7
Fly To the Angels,Slaughter,8
"Fly, Robin, Fly",Silver Convention,13
Flying High,Commodores,2
Flying Without Wings,Ruben Studdard,5
Focus,Ariana Grande,9
Foldin Clothes,J. Cole,1
Follow God,Kanye West,3
Follow Me,Uncle Kracker,27
Follow That Dream,Elvis Presley,7
Follow The Boys,Connie Francis,7
Follow You Down/Til I Hear It From You,Gin Blossoms,33
Follow You Follow Me,Genesis,5
Folsom Prison Blues,Johnny Cash,6
Fool #1,Brenda Lee,12
Fool For You,The Impressions,7
Fool For Your Loving,Whitesnake,3
Fool If You Think It's Over,Chris Rea,10
Fool In Love With You,Jim Photoglo,7
Fool In The Rain,Led Zeppelin,8
Fool To Cry,The Rolling Stones,7
Fooled Around And Fell In Love,Elvin Bishop,12
Foolin',Def Leppard,5
Foolin' Around,Changing Faces,2
Fooling Yourself (The Angry Young Man),Styx,4
Foolish,Ashanti,26
Foolish Beat,Debbie Gibson,14
Foolish Games/You Were Meant For Me,Jewel,60
Foolish Heart,Steve Perry,11
Foolish Little Girl,The Shirelles,9
Foolish One (Taylor's Version) (From The Vault),Taylor Swift,1
Foolish Pride,Daryl Hall,5
Fools Hall Of Fame,Pat Boone,4
Fools Rush In,Rick Nelson,9
Fools Rush In (Where Angels Fear To Tread),Brook Benton,7
Foot Stomping - Part 1,The Flares,9
Footloose,Kenny Loggins,16
Footsteps,Steve Lawrence,9
Footstompin' Music,Grand Funk Railroad,5
Fopp,Ohio Players,5
For A Little While,Tim McGraw,2
For A Nut,Future Featuring Gunna & Young Thug,1
For A Penny,Pat Boone,7
For All We Know,Carpenters,12
For America,Jackson Browne,5
For Free,DJ Khaled Featuring Drake,18
For Lovin' Me,"Peter, Paul & Mary",4
For My Baby,Brook Benton,1
For My Good Fortune,Pat Boone,4
For Once In My Life,Stevie Wonder,13
For The First Time,The Script,12
For The Good Times,Ray Price,14
For The Love Of Him,Bobbi Martin,10
For The Love Of Money,The O'Jays,10
For The Love Of You (Part 1&2),The Isley Brothers,9
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,42
For Tonight,Nancy Martinez,7
"For What It's Worth (Stop, Hey What's That Sound)",Buffalo Springfield,11
For Whom The Bell Tolls,J. Cole,1
For You,Kenny Lattimore,6
For You,Rick Nelson,9
For You,The Outfield,9
For You I Will (Confidence),Teddy Geiger,9
"For You I Will (From ""Space Jam"")",Monica,30
For Your Eyes Only,Sheena Easton,14
For Your Love,Peaches & Herb,5
For Your Love,The Yardbirds,9
For Your Precious Love,Garnet Mimms & The Enchanters,5
For Your Precious Love,Jerry Butler and The Impressions,3
For Your Precious Love,"Oscar Toney, Jr.",5
Forever,Chris Brown,32
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",23
Forever,Justin Bieber Featuring Post Malone & Clever,1
Forever,KISS,11
Forever,Kenny Loggins,1
Forever,Lil Baby Featuring Fridayy,1
Forever,Noah Kahan,1
Forever,Pete Drake And His Talking Steel Guitar,5
Forever,The Little Dippers,10
Forever & Always,Taylor Swift,1
Forever After All,Luke Combs,23
Forever And For Always,Shania Twain,16
Forever Came Today,Diana Ross & The Supremes,5
Forever Country,"Artists Of Then, Now & Forever",2
Forever In Blue Jeans,Neil Diamond,6
Forever In Love,Kenny G,13
"Forever Love (From ""Mo' Money"")",Color Me Badd,10
Forever Man,Eric Clapton,6
Forever Mine,The O'Jays,5
Forever My Lady,Jodeci,12
Forever Young,Rod Stewart,10
Forever Your Girl,Paula Abdul,14
Forget Him,Bobby Rydell,12
Forget Me Not,Kalin Twins,9
Forget Me Nots,Patrice Rushen,7
Forget You,Glee Cast Featuring Gwyneth Paltrow,2
Forgot About Dre,Dr. Dre Featuring Eminem,12
Formation,Beyonce,2
Fortnight,Taylor Swift Featuring Post Malone,16
Fortress Around Your Heart,Sting,11
Fortunate,Maxwell,21
Fortunate Son,Creedence Clearwater Revival,3
Forty Miles Of Bad Road,Duane Eddy And The Rebels,11
Found A Cure,Ashford & Simpson,2
Found Out About You,Gin Blossoms,17
Fountains,Drake Featuring Tems,1
Four In The Morning (I Can't Take Anymore),Night Ranger,6
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,14
Fox On The Run,Sweet,11
Franchise,Travis Scott Featuring Young Thug & M.I.A.,4
Frankenstein,Edgar Winter Group,14
Frankie,Connie Francis,11
Frankie And Johnny,Brook Benton,4
Frankie And Johnny,Elvis Presley,5
Frankie And Johnny,Sam Cooke,7
Freak Like Me,Adina Howard,27
Freak Me,Silk,22
Freaky Friday,Lil Dicky Featuring Chris Brown,13
"Freddie's Dead (Theme From ""Superfly"")",Curtis Mayfield,11
Free,Chicago,6
Free,Deniece Williams,7
Free,Zac Brown Band,7
Free As A Bird,The Beatles,4
Free Bird,Lynyrd Skynyrd,7
Free Fallin',Tom Petty,12
Free Man In Paris,Joni Mitchell,7
Free Ride,Edgar Winter Group,9
Free Smoke,Drake,2
Free Your Mind,En Vogue,16
Freedom,Beyonce Featuring Kendrick Lamar,1
Freedom,George Michael,12
Freedom,Wham!,12
Freedom Overspill,Steve Winwood,7
Freek'n You,Jodeci,15
Freek-A-Leek,Petey Pablo,26
Freeway Of Love,Aretha Franklin,13
Freeze,T-Pain Featuring Chris Brown,1
Freeze-frame,The J. Geils Band,12
Fresh,Kool & The Gang,11
Fresh Azimiz,Bow Wow Featuring J-Kwon & Jermaine Dupri,9
Fresh Out The Slammer,Taylor Swift,2
Friday,Glee Cast,1
Friday I'm In Love,The Cure,14
Friday On My Mind,The Easybeats,8
Friday's Child,Nancy Sinatra,2
Fried (She A Vibe),Future & Metro Boomin,1
Friend Of Mine,Kelly Price,15
Friends,Elton John,4
Friends,Jody Watley With Eric B. & Rakim,11
Friends,Justin Bieber + BloodPop,6
Friends,Marshmello & Anne-Marie,23
Friends And Lovers,Carl Anderson & Gloria Loring,14
Friends In Love,Dionne Warwick & Johnny Mathis,3
Friends/chapel Of Love,Bette Midler,1
Friendship Train,Gladys Knight And The Pips,10
Frogg,The Brothers Four,3
From A Distance,Bette Midler,19
From A Jack To A King,Ned Miller,8
From A Window,Billy J. Kramer With The Dakotas,5
From His Woman To You,Barbara Mason,4
From The Beginning,"Emerson, Lake & Palmer",2
From The Bottom Of My Broken Heart,Britney Spears,6
From This Moment On,Shania Twain,12
Frontin',Pharrell Featuring Jay-Z,16
Frozen,Madonna,16
Fu-Gee-La,Fugees,10
Fucking Fans,Drake,1
Fuel,Eminem & JID,1
Fuk Sumn,¥$: Kanye West & Ty Dolla $ign,1
Fukumean,Gunna,30
Full Moon,Brandy,10
Full Of Fire,Al Green,6
Fun,Pitbull Featuring Chris Brown,3
"Fun, Fun, Fun",The Beach Boys,9
Funkdafied,Da Brat,17
Funky Broadway,Wilson Pickett,9
Funky Cold Medina,Tone-Loc,11
Funky Nassau-Part I,The Beginning Of The End,10
Funky Street,Arthur Conley,9
Funky Stuff,Kool & The Gang,6
Funky Worm,Ohio Players,9
Funky Y-2-C,The Puppies,1
Funkytown,"Lipps, Inc.",15
Funkytown,Pseudo Echo,10
Funny,Maxine Brown,5
Funny (How Time Slips Away),Joe Hinton,9
Funny Face,Donna Fargo,14
Funny How Time Slips Away,Jimmy Elledge,7
Funny The Way It Is,Dave Matthews Band,1
Funny Way Of Laughin',Burl Ives,8
Futsal Shuffle 2020,Lil Uzi Vert,2
Future Shock,Curtis Mayfield,2
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,22
G.H.E.T.T.O.U.T.,Changing Faces,22
G.T.O.,Ronny And The Daytonas,10
GNX,"Kendrick Lamar Featuring Hitta J3, YoungThreat & Peysoh",1
GTA,Future & Metro Boomin,1
Galaxy,War,2
Gallant Men,Senator Everett McKinley Dirksen,3
Gallery,Mario Vazquez,5
Galveston,Glen Campbell,10
Game Of Love,Wayne Fontana & The Mindbenders,10
Game Over (Flip),Lil' Flip,12
Games,Redeye,7
Games People Play,Joe South,9
Games People Play,The Alan Parsons Project,10
Gang Gang,Polo G & Lil Wayne,1
Gangnam Style,PSY,26
Gangsta,Bell Biv DeVoe,8
Gangsta Lean,DRS,15
Gangsta Lovin',Eve Featuring Alicia Keys,19
Gangsta Luv,Snoop Dogg Featuring The-Dream,5
Gangsta Nation,Westside Connection Featuring Nate Dogg,6
"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,36
Gangstas,Pop Smoke,1
Gangstas Make The World Go Round,Westside Connection,2
Garden Party,Rick Nelson And The Stone Canyon Band,12
Gas Pedal,Sage The Gemini Featuring IamSu!,11
Gasolina,Daddy Yankee,3
Gasoline,The Weeknd,1
Gata Only,FloyyMenor X Cris Mj,7
Gatubela,Karol G x Maldy,1
Gee Whiz,Bernadette Peters,5
Gee Whiz,The Innocents,3
Gee Whiz (Look At His Eyes),Carla Thomas,10
"Gee, But It's Lonely",Pat Boone,2
Gemini Dream,The Moody Blues,9
General Hospi-tale,The Afternoon Delights,5
Genie In A Bottle,Christina Aguilera,23
Genius Of Love,Tom Tom Club,4
Gentle,Dino,5
Gentle On My Mind,Glen Campbell,1
Gentleman,PSY,5
Gently,Drake Featuring Bad Bunny,1
George Jackson,Bob Dylan,4
Georgia,Ludacris & Field Mob Featuring Jamie Foxx,1
Georgia On My Mind,Michael Bolton,2
Georgia On My Mind,Ray Charles,10
Georgy Girl,The Seekers,12
Geronimo's Cadillac,Michael Murphey,2
Get A Leg Up,John Mellencamp,7
Get Along,Kenny Chesney,5
Get Along Better,Drake Featuring Ty Dolla $ign,1
Get At Me Dog,DMX Featuring Sheek Of The Lox,1
Get Away,Bobby Brown,10
Get Back,Ludacris,15
Get Back,The Beatles With Billy Preston,12
Get Busy,Sean Paul,27
Get Closer,Linda Ronstadt,5
Get Closer,Seals & Crofts (Featuring Carolyn Willis),15
Get Dancin',Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,9
Get Down,Craig Mack,2
Get Down,Gilbert O'Sullivan,11
Get Down On It,Kool & The Gang,9
Get Down Tonight,KC And The Sunshine Band,9
"Get Down, Get Down (Get On The Floor)",Joe Simon,11
Get Gone,Ideal,16
Get Here,Oleta Adams,10
Get Him Back!,Olivia Rodrigo,3
Get Into It (Yuh),Doja Cat,9
Get It On,Chase,8
Get It On (Bang A Gong),The Power Station,10
Get It On Tonite,Montell Jordan,23
Get It Poppin',Fat Joe Featuring Nelly,15
Get It Right,Glee Cast,1
Get It Right Next Time,Gerry Rafferty,8
Get It Sexyy,Sexyy Red,14
Get It Shawty,Lloyd,16
Get It Together,702,17
Get It Together,Jackson 5,7
Get It Together (Part 1),James Brown And The Famous Flames,1
Get Like Me,David Banner Featuring Chris Brown,15
Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,36
Get Lucky,Daft Punk Featuring Pharrell Williams,28
Get Me To The World On Time,The Electric Prunes,5
Get Money,Junior M.A.F.I.A. Featuring The Notorious B.I.G.,8
Get Off,Foxy,13
Get Off Of My Cloud,The Rolling Stones,11
Get On The Good Foot-Part 1,James Brown,8
Get On Up,Jodeci,9
Get On Up,The Esquires,10
Get On Your Boots,U2,1
Get On Your Feet,Gloria Estefan,8
"Get Outta My Dreams, Get Into My Car",Billy Ocean,14
Get Over It,Eagles,3
Get Over Yourself,Eden's Crush,7
Get Ready,Rare Earth,17
Get Ready,The Temptations,3
Get Ready For This,2 Unlimited,2
Get Right,Jennifer Lopez,8
Get Silly,V.I.C.,6
Get That Love,Thompson Twins,5
Get The Funk Out Ma Face,The Brothers Johnson,6
Get The Party Started,P!nk,21
Get Together,The Youngbloods,12
Get Up,Ciara Featuring Chamillionaire,16
Get Up (I Feel Like Being Like A) Sex Machine (Part 1),James Brown,7
Get Up 10,Cardi B,1
Get Up And Boogie (That's Right),Silver Convention,15
Get Up! (Before The Night Is Over),Technotronic,12
"Get Up, Get Into It, Get Involved (Pt. 1)",James Brown,5
Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",20
Get Used To It,Roger Voudouris,10
Get Your Shine On,Florida Georgia Line,7
Get'cha Head In The Game,Andrew Seeley,2
Getaway,"Earth, Wind & Fire",12
Getcha Back,The Beach Boys,7
Gett Off,Prince And The N.P.G.,5
Gettin' Jiggy Wit It,Will Smith,28
Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO,4
Gettin' Ready For Love,Diana Ross,7
Gettin' Some,Shawnna,4
Gettin' Together,Tommy James And The Shondells,6
Gettin' You Home,Chris Young,4
Getting Away With It,Electronic,2
Getting Closer,Wings,6
Getto Jam,Domino,13
Ghetto Child,The Spinners,3
Ghetto Cowboy,Mo Thugs Family Featuring Bone Thugs-N-Harmony,12
Ghetto Love,Da Brat Featuring T-Boz,5
Ghetto Supastar (That Is What You Are),Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya,16
Ghost,Ella Henderson,9
Ghost,Justin Bieber,50
Ghost In The Machine,SZA Featuring Phoebe Bridgers,1
Ghost Town,Cheap Trick,5
Ghost Town,Kanye West Featuring PARTYNEXTDOOR,1
Ghostbusters,Ray Parker Jr.,16
Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",1
Ghostin,Ariana Grande,1
Gigolo,Nick Cannon Featuring R. Kelly,14
Gimme A Hug,Drake,3
Gimme All Your Lovin,ZZ Top,3
Gimme Dat Ding,The Pipkins,10
Gimme Gimme Good Lovin',Crazy Elephant,8
Gimme Little Sign,Brenton Wood,10
Gimme More,Britney Spears,8
Gimme Some Lovin',Blues Brothers,8
Gimme Some Lovin',The Spencer Davis Group,9
Gimme That,Chris Brown Featuring Lil Wayne,14
Gimme The Light,Sean Paul,15
Gimmie That Girl,Joe Nichols,2
Gin And Juice,Snoop Doggy Dogg,15
Gina,Johnny Mathis,9
Ginger Bread,Frankie Avalon,8
Ginnie Bell,Paul Dino,1
Ginny Come Lately,Brian Hyland,6
Girl,Destiny's Child,6
Girl,Paul Wall,5
Girl (Why You Wanna Make Me Blue),The Temptations,6
Girl Can't Help It,Journey,8
Girl Come Running,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",3
Girl Crush,Little Big Town,15
Girl I'm Gonna Miss You,Milli Vanilli,14
Girl In Love,The Outsiders,5
Girl Next Door,Saving Jane,4
Girl Of My Best Friend,Ral Donner,8
Girl Of My Dreams,Bram Tchaikovsky,3
Girl Of My Dreams,Juice WRLD & SUGA,1
Girl On A Swing,Gerry And The Pacemakers,4
Girl On Fire,Alicia Keys Featuring Nicki Minaj,25
Girl On TV,LFO,11
Girl Talk,TLC,5
Girl Tonite,Twista Featuring Trey Songz,12
Girl U For Me/Lose Control,Silk,6
Girl Watcher,The O'Kaysions,11
Girl You Know It's True,Milli Vanilli,15
"Girl, I've Been Hurt",Snow,9
"Girl, You'll Be A Woman Soon",Neil Diamond,8
Girlfight,Brooke Valentine Featuring Lil Jon & Big Boi,9
Girlfriend,'N Sync Featuring Nelly,17
Girlfriend,Avril Lavigne,23
Girlfriend,B2K,3
Girlfriend,Bow Wow & Omarion,1
Girlfriend,Pebbles,12
Girls,Dwight Twilley,10
Girls Are More Fun,Ray Parker Jr.,4
Girls Can Get It,Dr. Hook,6
Girls Can't Do What The Guys Do,Betty Wright,2
Girls Grow Up Faster Than Boys,The Cookies,4
Girls In Love,Gary Lewis And The Playboys,2
Girls In The Hood,Megan Thee Stallion,2
Girls Just Want To Have Fun,Cyndi Lauper,14
Girls Lie Too,Terri Clark,3
Girls Like You,Maroon 5 Featuring Cardi B,51
Girls Need Love,Summer Walker X Drake,1
Girls Nite Out,Tyler Collins,13
Girls Want Girls,Drake Featuring Lil Baby,11
Girls With Guns,Tommy Shaw,3
Girls' School,Wings,4
"Girls, Girls, Girls",JAY-Z,8
"Girls, Girls, Girls",Motley Crue,9
Gitarzan,Ray Stevens,10
Give A Little Bit,Goo Goo Dolls,4
Give A Little Bit,Supertramp,11
Give Him A Great Big Kiss,The Shangri-Las,5
Give Ireland Back To The Irish,Wings,6
Give It 2 U,Robin Thicke Featuring Kendrick Lamar,7
Give It 2 You,Da Brat,11
Give It All You Got,Chuck Mangione,9
Give It Away,George Strait,1
Give It To Me,The J. Geils Band,6
Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,15
Give It To Me Baby,Rick James,2
Give It To The People,The Righteous Brothers,4
Give It To You,Jordan Knight,13
Give It Up,KC,10
Give It Up,Public Enemy,5
Give It Up,Wilson Phillips,3
Give It Up (turn It Loose),Tyrone Davis,4
Give It Up Or Turnit A Loose,James Brown,7
Give It Up To Me,Shakira Featuring Lil Wayne,5
"Give It Up, Turn It Loose",En Vogue,12
Give It What You Got/Peace Pipe,B.T. Express,5
Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.,3
Give Me Back My Hometown,Eric Church,4
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",42
Give Me Just A Little More Time,Chairman Of The Board,12
Give Me Just One Night (Una Noche),98 Degrees,13
Give Me Love - (Give Me Peace On Earth),George Harrison,11
Give Me One Reason,Tracy Chapman,34
Give Me That,Webbie Featuring Bun B,7
Give Me The Night,George Benson,14
Give Me Your Love,Barbara Mason,5
Give Peace A Chance,Plastic Ono Band,6
Give To Live,Sammy Hagar,7
"Give U My Heart (From ""Boomerang"")",Babyface (Featuring Toni Braxton),6
Give Us Your Blessings,The Shangri-Las,4
Give Your Baby A Standing Ovation,The Dells,2
Give Your Heart A Break,Demi Lovato,21
Given To Fly,Pearl Jam,3
Gives You Hell,Glee Cast,1
Gives You Hell,The All-American Rejects,29
Giving Him Something He Can Feel,En Vogue,17
Giving It Up For Your Love,Delbert McClinton,14
Giving Up,Gladys Knight And The Pips,1
Giving Up On Love,Rick Astley,1
Giving You The Benefit,Pebbles,13
Giving You The Best That I Got,Anita Baker,15
Glad All Over,The Dave Clark Five,11
Glad To Be Unhappy,The Mamas & The Papas,5
Glad You Came,The Wanted,32
Glad You Exist,Dan + Shay,8
Glamorous,Fergie Featuring Ludacris,23
Glamour Boys,Living Colour,3
Glasshouse,The Temptations,2
Glimpse Of Us,Joji,18
Glitter In The Air,P!nk,1
Glock In My Lap,21 Savage & Metro Boomin,1
Gloria,Enchantment,5
Gloria,Kendrick Lamar & SZA,1
Gloria,Laura Branigan,22
Gloria,Shadows Of Knight,8
Glory Bound,The Grass Roots,3
Glory Days,Bruce Springsteen,13
"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,14
Glycerine,Bush,7
Go Ahead And Cry,The Righteous Brothers,3
Go All The Way,Raspberries,11
Go Away Little Girl,Donny Osmond,13
Go Away Little Girl,Steve Lawrence,12
Go Away Little Girl,The Happenings,5
Go Back,Crabby Appleton,5
Go Crazy,Chris Brown & Young Thug,48
Go D.J.,Lil Wayne,11
Go Down Gamblin',"Blood, Sweat & Tears",5
Go Getta,Young Jeezy Featuring R. Kelly,11
Go Home,Stevie Wonder,11
Go Insane,Lindsey Buckingham,9
Go Now!,The Moody Blues,8
Go On,George Strait,1
"Go The Distance (From ""Hercules"")",Michael Bolton,11
Go Where You Wanna Go,The 5th Dimension,7
Go Your Own Way,Fleetwood Mac,11
"Go, Jimmy, Go",Jimmy Clanton,11
God Bless America,Connie Francis,2
God Bless The U.S.A.,American Idol Finalists,2
God Bless The USA,Lee Greenwood,2
God Breathed,Kanye West,1
God Did,"DJ Khaled Featuring Rick Ross, Lil Wayne, JAY-Z, John Legend & Fridayy",1
God Gave Me You,Blake Shelton,16
God Is,Kanye West,1
God Is A Woman,Ariana Grande,20
God Love Her,Toby Keith,2
God Must Have Spent A Little More Time On You,Alabama Featuring 'N Sync,11
God Only Knows,The Beach Boys,2
God's Country,Blake Shelton,16
God's Country,Travis Scott,1
God's Plan,Drake,35
"God, Country And My Baby",Johnny Burnette,4
"God, Love And Rock & Roll",Teegarden & Van Winkle,5
Godzilla,Eminem Featuring Juice WRLD,9
Goin' Crazy,Natalie,12
Goin' Down,Greg Guidry,10
Goin' Home,The Osmonds,2
Goin' Out Of My Head,Little Anthony And The Imperials,12
Goin' Out Of My Head/Can't Take My Eyes Off You,The Lettermen,11
Going Back To Cali,The Notorious B.I.G.,5
"Going Back To Cali (From ""Less Than Zero"")",LL Cool J,5
Going Bad,Meek Mill Featuring Drake,31
Going Going Gone,Brook Benton,3
Going In Circles,The Friends Of Distinction,12
Going To A Go-Go,The Miracles,7
Going To A Go-Go,The Rolling Stones,5
Going Up The Country,Canned Heat,9
"Going, Going, Gone",Luke Combs,12
Gold,John Stewart,13
Gold,Kiiara,18
Gold,Spandau Ballet,6
Gold Digger,Kanye West Featuring Jamie Foxx,32
Gold Roses,Rick Ross Featuring Drake,1
Gold Rush,Taylor Swift,1
Gold Stacks,Future,1
Golden Child,Lil Durk,1
Golden Hour,JVKE,11
Golden Years,David Bowie,16
Goldfinger,Shirley Bassey,8
Goldmine,The Pointer Sisters,3
Gone,'N Sync,18
Gone,Dierks Bentley,5
Gone,Joey Heatherton,7
Gone,Kanye West Featuring Cam'ron & Consequence,1
Gone At Last,Paul Simon/Phoebe Snow,6
Gone Till November,Wyclef Jean,18
Gone Too Far,England Dan & John Ford Coley,6
"Gone, Gone, Gone",Phillip Phillips,14
"Gone, Gone, Gone",The Everly Brothers,2
Gonna Fly Now,Bill Conti,13
"Gonna Fly Now (Theme From ""Rocky"")",Maynard Ferguson,6
Gonna Give Her All The Love I've Got,Jimmy Ruffin,3
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,17
Gonorrhea,Lil Wayne Featuring Drake,1
Goo Goo Barabajagal (Love Is Hot),Donovan/Jeff Beck Group,2
Gooba,6ix9ine,5
Good,Better Than Ezra,11
Good 4 U,Olivia Rodrigo,50
Good As Hell,Lizzo,23
Good As You,Kane Brown,3
Good Credit,Playboi Carti & Kendrick Lamar,1
Good Days,SZA,16
Good Enough,Bobby Brown,21
Good Feeling,Flo Rida,31
Good For Me,Amy Grant,17
Good For You,Selena Gomez Featuring A$AP Rocky,25
Good Friend,Mary Macgregor,2
Good Girl,Carrie Underwood,17
Good Girls,5 Seconds Of Summer,1
Good Girls Don't,The Knack,11
Good Girls Go Bad,Cobra Starship Featuring Leighton Meester,17
Good Good,"Usher, Summer Walker & 21 Savage",10
Good Graces,Sabrina Carpenter,3
Good Hearted Woman,Waylon & Willie,5
Good Life,Kanye West Featuring T-Pain,20
Good Life,OneRepublic,26
Good Lovin',The Young Rascals,12
Good Lovin' Ain't Easy To Come By,Marvin Gaye & Tammi Terrell,4
Good Lovin' Gone Bad,Bad Company,2
Good Luck Charm,Elvis Presley With The Jordanaires,11
"Good Luck, Babe!",Chappell Roan,42
Good Morning,Chamillionaire,1
Good Morning Beautiful,Steve Holy,9
Good Morning Heartache,Diana Ross,4
Good Morning Starshine,Oliver,11
Good News,Mac Miller,2
Good News,Sam Cooke,7
Good Old Rock 'N Roll,Cat Mother & the All Night News Boys,6
Good Stuff,The B-52s,7
Good Thing,Fine Young Cannibals,13
Good Thing,Paul Revere & The Raiders Featuring Mark Lindsay,10
Good Time,Alan Jackson,2
Good Time,Niko Moon,7
Good Time,Owl City & Carly Rae Jepsen,23
Good Time Baby,Bobby Rydell,8
Good Time Charlie's Got The Blues,Danny O'Keefe,10
Good Times,Chic,14
Good Times,Sam Cooke,7
Good Times,Styles,9
Good Timin',Jimmy Jones,10
Good Timin',The Beach Boys,1
Good Vibrations,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,15
Good Vibrations,The Beach Boys,12
Good Vibrations,Todd Rundgren,3
Goodbye,Kristinia DeBarge,9
Goodbye,Mary Hopkin,7
Goodbye,Night Ranger,10
Goodbye,Spice Girls,4
Goodbye Baby,Jack Scott,13
Goodbye Baby (Baby Goodbye),Solomon Burke,4
Goodbye Cruel World,James Darren,12
Goodbye Earl,Dixie Chicks,9
Goodbye Girl,David Gates,12
Goodbye Is Forever,Arcadia,3
"Goodbye Jimmy, Goodbye",Kathy Linden,10
Goodbye My Love,James Brown,2
Goodbye Stranger,Supertramp,8
Goodbye To Love,Carpenters,9
Goodbye To My Homies,"Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick",7
Goodbye To You,Michelle Branch,7
Goodbye Yellow Brick Road,Elton John,14
Goodbyes,Post Malone Featuring Young Thug,20
Goodies,Ciara Featuring Petey Pablo,31
Goodnight,Roy Orbison,6
Goodnight My Love,Paul Anka,6
Goodnight My Love,The Fleetwoods,4
Goodnight Tonight,Wings,13
Goody Goody Gumdrops,1910 Fruitgum Co.,3
Goody Two Shoes,Adam Ant,14
Goosebumps,Travis Scott,8
Gorgeous,Taylor Swift,1
Gorilla,Bruno Mars,7
Gossip Folks,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",14
Got A Girl,The Four Preps,3
Got A Hold On Me,Christine McVie,11
Got A Love For You,Jomanda,1
Got It On Me,Pop Smoke,1
Got Me Waiting,Heavy D & The Boyz,13
Got Money,Lil Wayne Featuring T-Pain,22
Got My Mind Set On You,George Harrison,15
Got To Be Real,Cheryl Lynn,12
Got To Be There,Michael Jackson,13
Got To Get It,Sisqo Featuring Make It Hot,1
Got To Get You Into My Life,"Earth, Wind & Fire",9
Got To Get You Into My Life,The Beatles,11
Got To Get You Off My Mind,Solomon Burke,5
Got To Give It Up (Pt. I),Marvin Gaye,15
Got What I Got,Jason Aldean,12
Got Your Back,T.I. Featuring Keri Hilson,3
Got Your Money,Ol' Dirty Bastard Featuring Kelis,6
Gotham City,R. Kelly,10
Gots Ta Be,B2K,4
Gotta Be,Jagged Edge,6
Gotta Be Somebody,Nickelback,24
Gotta Find You,Joe Jonas,2
Gotta Get Thru This,Daniel Bedingfield,17
Gotta Go My Own Way,Zac Efron & Vanessa Anne Hudgens,1
Gotta Hold On To This Feeling,Jr. Walker & The All Stars,9
Gotta Man,Eve,8
Gotta Serve Somebody,Bob Dylan,6
Gotta Tell You,Samantha Mumba,18
Gotta Travel On,Billy Grammer,15
Graduation (Friends Forever),Vitamin C,4
Graduation's Here,The Fleetwoods,1
Grammys,Drake Featuring Future,1
Grapejuice,Harry Styles,1
Graveyard,Halsey,3
Gravy (For My Mashed Potatoes),Dee Dee Sharp,9
Grazing In The Grass,Hugh Masekela,10
Grazing In The Grass,The Friends Of Distinction,13
Grease,Frankie Valli,15
Great Gatsby,Rod Wave,2
Great Is Thy Faithfulness,Jordan Smith,1
Greatest,Eminem,1
Greatest Love Of All,Whitney Houston,15
Greece,DJ Khaled Featuring Drake,1
Greedy,Tate McRae,38
Green Grass,Gary Lewis And The Playboys,7
Green Light,John Legend Featuring Andre 3000,18
Green Light,Lorde,2
Green Light,The American Breed,3
Green Onions,Booker T. & The MG's,12
