title,artist,uri
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",spotify:track:4yNoUQkYf1QF8iYlEzNynH
All Too Well (Taylor's Version),Taylor Swift,spotify:track:3nsfB1vus2qaloUdcBZvDu
Big Energy,Latto,spotify:track:6Zu3aw7FfjAF9WA0fA81Oq
Enemy,Imagine Dragons X JID,spotify:track:1r9xUipOqoNwggBpENDsvJ
I'll Be Home For Christmas,Camila Cabello,spotify:track:6SiKqI0vm3N5NBjdgM2V9m
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,spotify:track:1dIWPXMX4kRHj6Dt2DStUQ
One Mississippi,Kane Brown,spotify:track:4FdPnT2cFrpWCmWZd7GXc3
Burn,Juice WRLD,spotify:track:1X8E4vVoOM3BpSQlEDSjjM
Have Mercy,Chloe,spotify:track:5SixeLvPsYpk7qq9lo5xYg
Woman,Doja Cat,spotify:track:6Uj1ctrBOjOas8xZXGqKk4
25 Million,Roddy Ricch,spotify:track:2lUDBd7JrgAMltcp6dcd7D
By Your Side,Rod Wave,spotify:track:5gUiTylvifZnUrynE4FFPu
Christmas Isn't Canceled (Just You),Kelly Clarkson,spotify:track:4zHDuDQx8dcWVmVVtyIzRO
For Tonight,Giveon,spotify:track:61Emqg95O9zo1GNOcyxq4Y
Life Goes On,Oliver Tree,spotify:track:0eu4C55hL6x29mmeAjytzC
'Til You Can't,Cody Johnson,spotify:track:4k3lPl8YTKuY8c1HelVnm3
To Be Loved By You,Parker McCollum,spotify:track:5Ykc3Wr4L4wef5QDdaaxM7
My Universe,Coldplay x BTS,spotify:track:3FeVmId7tL5YN8B7R3imoM
Moved To Miami,Roddy Ricch Featuring Lil Baby,spotify:track:3rjwafyisDpLdoJ4RecHp6
Freedom Was A Highway,Jimmie Allen & Brad Paisley,spotify:track:5tcZx2mz64HvI6MKIYjXoD
Wandered To LA.,Juice WRLD & Justin Bieber,spotify:track:2DQayQSTaomynGyTLXzGs0
Already Dead,Juice WRLD,spotify:track:1hB3M3POeKMLxcEFEvPeqU
Tequila Little Time,Jon Pardi,spotify:track:15npbUjCgwt2lRvyrJvyxw
Scorpio,Moneybagg Yo,spotify:track:0BFGDkrXAneskCJdudSCro
Hibachi,Roddy Ricch Featuring Kodak Black & 21 Savage,spotify:track:7FCDmAel69bzxRkOxbh2dB
Heart On Fire,Eric Church,spotify:track:0ysCB1Jg4hli0XlEWlipo7
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,spotify:track:3z6XUommYDWPHeFhmhhT6j
Same Boat,Zac Brown Band,spotify:track:4HD9SLK4s9rwRyuFt3n8N7
Thailand,Roddy Ricch,spotify:track:0qHPxjC83zQYcxe39xSShx
Bubbly,Young Thug With Drake & Travis Scott,spotify:track:4KDNRh9Oor80z3XIxdWlui
Do It To It,Acraze Featuring Cherish,spotify:track:20on25jryn53hWghthWWW3
No Love,Summer Walker & SZA,spotify:track:0IMUFRaM2W3wKNM1CSQ4Zm
Knowing You,Kenny Chesney,spotify:track:2EEfUuBRZA4Ax1vYcluFS0
Family Ties,Baby Keem & Kendrick Lamar,spotify:track:3QFInJAm9eyaho5vBzxInN
Essence,Wizkid Featuring Justin Bieber & Tems,spotify:track:5FG7Tl93LdH117jEKYl3Cm
Kiss Me More,Doja Cat Featuring SZA,spotify:track:748mdHapucXQri7IAO8yFK
You Right,Doja Cat & The Weeknd,spotify:track:0k4d5YPDr1r7FX77VdqWez
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",spotify:track:52xJxFP6TqMuO4Yt0eOkMz
Surface Pressure,Jessica Darrow,spotify:track:760jhRscwGbIIe1m1IIQpU
Christmas Tree,V,spotify:track:186NCtNk1tUYS7c2DxgJ7O
Hrs And Hrs,Muni Long,
Doin' This,Luke Combs,spotify:track:6TpyujRefwsflWFXbmjVpj
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,spotify:track:1yRke3PmsyFrYlFZOAkABk
Poke It Out,Wale Featuring J. Cole,spotify:track:1IeCWMwZs4rCmwPOjZYWN7
I Am Woman,Emmy Meli,spotify:track:3nOz1U41SZZ0N3fuUWr9nb
Pressure,Ari Lennox,spotify:track:6ElfCM1XppU0YWkkFYh4s2
Beers On Me,"Dierks Bentley, Breland & HARDY",spotify:track:19ZzEzb4BVK1wVO4brrmZz
23,Sam Hunt,spotify:track:4PuAqZlL1tkidkuxfDlLbF
Levitating,Dua Lipa,spotify:track:39LLxExYz6ewLAcYrzQQyP
Save Your Tears,The Weeknd & Ariana Grande,spotify:track:37BZB0z9T8Xu7U3e65qxFy
If I Didn't Love You,Jason Aldean & Carrie Underwood,spotify:track:7IYoh1u7dFM1xIWSEYd5B8
Beggin',Maneskin,spotify:track:3Wrjm47oTz2sjIgck11l5e
Montero (Call Me By Your Name),Lil Nas X,spotify:track:67BtfxlNbhBmCDR2L2l8qd
Pepas,Farruko,spotify:track:5fwSHlTEWpluwOM0Sxnh5k
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),spotify:track:4pryE6cN2gFL1FVF5fYINl
Chasing After You,Ryan Hurd With Maren Morris,spotify:track:1ZIKpMTRPqhwAoVXWY3tXI
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",spotify:track:4b1yxSdlumA8N4fEk4UOZp
What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,spotify:track:3XoYqtiWHhsk59frZupImG
Flower Shops,ERNEST Featuring Morgan Wallen,spotify:track:1DbZAffh8GGwW41Q3AU8iC
Fingers Crossed,Lauren Spencer-Smith,spotify:track:4wH7ZoqgETaACS9BlUkvuY
Waiting On A Miracle,Stephanie Beatriz,spotify:track:3oRW9ZGPRbLRMneQ5lwflt
Dos Oruguitas,Sebastian Yatra,spotify:track:5rohUzwEoRsUvAA1Bf3DLo
Too Easy,Gunna & Future,spotify:track:1t55dGrBkLvKDzNa9QJ3LV
Fair Trade,Drake Featuring Travis Scott,spotify:track:40iJIUlhi6renaREYGeIDS
Volvi,Aventura x Bad Bunny,spotify:track:2vmfvSoZBFAt9hhRoEByLi
AA,Walker Hayes,spotify:track:77oKig47u34qCCFWKMfu1e
Come Through,H.E.R. Featuring Chris Brown,spotify:track:3krZxyBsWEHfEfJegYaWTd
Home Sweet,Russell Dickerson,spotify:track:7xMFk2Vj2hALyMdzHFopJl
Come Back As A Country Boy,Blake Shelton,spotify:track:5EDtmgwR1lDmDGLZraNpJg
Black Ball,YoungBoy Never Broke Again & Birdman,spotify:track:1tmsPlyvzDETLv08Wp5cuY
Baddest,"Yung Bleu, Chris Brown & 2 Chainz",spotify:track:2CDVqsGGkf2v1tMETt3fq5
Moth To A Flame,Swedish House Mafia & The Weeknd,spotify:track:7kfOEMJBJwdCYqyJeEnNhr
Me Or Sum,"Nardo Wick, Lil Baby & Future",spotify:track:1qlh1WxuWilyIWRwdsKMuJ
I Love You So,The Walters,spotify:track:4SqWKzw0CbA05TGszDgMlc
Bad Man (Smooth Criminal),Polo G,spotify:track:62l3NSQPUxvcwwzKUmysrE
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,spotify:track:3TuMOIzXkhKFDNHyQ7Mo8J
Just About Over You,Priscilla Block,spotify:track:4Ec0q0j8hRTCX4QQ5MiHSX
Pushin P,Gunna & Future Featuring Young Thug,spotify:track:3XOalgusokruzA5ZBA2Qcb
Sacrifice,The Weeknd,spotify:track:4c4qqhFrvOgddweMQS0ptG
Take My Breath,The Weeknd,spotify:track:2vgUijXOTRMnWXDtvgMp2b
Thought I Was Playing,Gunna & 21 Savage,spotify:track:5dqeWGM9sqLd5bZhyBikrZ
25k Jacket,Gunna Featuring Lil Baby,spotify:track:6tsVFchreYTt2OPXSOoFCX
Gasoline,The Weeknd,spotify:track:3KyKxJ4P3pVCgaZwaq2rUC
Is There Someone Else?,The Weeknd,spotify:track:0mL82sxCRjrs3br407IdJh
Out Of Time,The Weeknd,spotify:track:2SLwbpExuoBDZBpjfefCtV
How Do I Make You Love Me?,The Weeknd,spotify:track:2Ghp894n1laIf2w98VeAOJ
Poochie Gown,Gunna,spotify:track:3daUZMkia3HT0E7xITejR6
Mop,Gunna Featuring Young Thug,spotify:track:49BbpJuVsX2wUl0Qo9aVvC
Alotta Cake,Gunna,spotify:track:19QKaApDINxlRSKX3w1xSB
How You Did That,Gunna Featuring Kodak Black,spotify:track:3ABFD8SzXwMbUspLFxbbwK
Here We Go... Again,"The Weeknd Featuring Tyler, The Creator",spotify:track:1NhjYYcYTRywc0di98xHxf
Less Than Zero,The Weeknd,spotify:track:2D4dV2KXDTszzJ3p3cFqhA
IDK That Bitch,Gunna Featuring G Herbo,spotify:track:0n56YWlnKfK1meIGHwMFWt
Best Friends,The Weeknd,spotify:track:1E5Xu8dur0fAjSP1VpVhAZ
Livin Wild,Gunna,spotify:track:13LrJDJhegSLCZzqd5InmU
I Heard You're Married,The Weeknd Featuring Lil Wayne,spotify:track:5XbA7TAqsD0fj0dGBrbb0D
Circles Around This Town,Maren Morris,spotify:track:13G5xv1wUKvJYbK0wYmioN
Dawn FM,The Weeknd,spotify:track:6krYS8KtmNAYyb5uTZiYW4
Private Island,Gunna,spotify:track:707rK2RH1p0fUCYwUNLsWv
South To West,Gunna,spotify:track:7rEUuRanwV9piOwwPKxPIM
You & Me,Gunna & Chloe,spotify:track:6f9GhvtmiQR6JNXRZJKYlj
Starry Eyes,The Weeknd,spotify:track:5ONnknPrFf58QVxCBRcofB
Don't Break My Heart,The Weeknd,spotify:track:6a4GH1gljLL7VvmO9u5O92
Flooded,Gunna,spotify:track:3bOEO8nom7HhWQ3mavmjoM
Die Alone,Gunna & Chris Brown Featuring Yung Bleu,spotify:track:4LkT6eAaE0ewY21VHfKoBv
Every Angel Is Terrifying,The Weeknd,spotify:track:3vJcz8exedHCjQ9ed95NqU
P Power,Gunna Featuring Drake,spotify:track:0lEjxUUlKqjqXrVlIHFduD
Eazy,The Game & Kanye West,spotify:track:6Ab81Bs9fcOwaTYuBsUUpI
Cold December,Rod Wave,spotify:track:6UAy9xYeTWjZB7h05p83e9
Bring The Hook,YoungBoy Never Broke Again,spotify:track:2Sc8Vpb2cK0NYHaIkjBR5p
Iffy,Chris Brown,spotify:track:3kfqYE0jGONOrkVpkPPOd5
Never Say Never,Cole Swindell / Lainey Wilson,spotify:track:03kCiUPjdAV9ur9ugm8PQT
Fish Scale,YoungBoy Never Broke Again,spotify:track:3mEV5HCSzchjEG5NwLC0IR
Trouble With A Heartbreak,Jason Aldean,spotify:track:0P9c1rdCeGAkCeS425KbI5
Surround Sound,JID Featuring 21 Savage & Baby Tate,spotify:track:1udwFobQ1JoOdWPQrp2b6u
All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",spotify:track:4X25mFLehFnxa1TwtLKcE2
Light Switch,Charlie Puth,spotify:track:1jEBSDN5vYViJQr78W7jr2
No Switch,YoungBoy Never Broke Again,spotify:track:54COqDgfYUv07Kytm2Ndof
Bring It On,YoungBoy Never Broke Again,spotify:track:4XEz27XgKEC4DJEfVo473y
Flossin',Internet Money Featuring YoungBoy Never Broke Again,spotify:track:7ancvwiSHq5uQSUCxW6IFY
Proud,Key Glock,spotify:track:35dnxfkrvTJCdXXlJrabLk
Know Like I Know,YoungBoy Never Broke Again,spotify:track:1cGu5a4DcOcmg4NbiqwYwH
2Hoo,YoungBoy Never Broke Again,spotify:track:08ypXHvXLsr4CqEin9TLdc
Long Live,YoungBoy Never Broke Again,spotify:track:36mU1SRz3SFAoiVuHhZ8yj
Dis & That,YoungBoy Never Broke Again,spotify:track:5Ul8DCsqFvt5wNULpgj5aW
Beautiful Lies,Yung Bleu & Kehlani,spotify:track:3BjwSq6phb60SOdTZw5pZY
Smoke One,YoungBoy Never Broke Again,spotify:track:1NMvJLrsL07aatHDegq4x8
Rumors,Gucci Mane Featuring Lil Durk,spotify:track:0P2P1AxcRYhiZvoF5MyRmM
High,The Chainsmokers,spotify:track:09AvsbivV1FQBRAEBJh7UL
Johnny P's Caddy,Benny The Butcher & J. Cole,spotify:track:6AshXllQhobwSXsdpgp41w
Peru,Fireboy DML & Ed Sheeran,spotify:track:3s1KwrLP0NlFWiWbjz6bfQ
Get Into It (Yuh),Doja Cat,spotify:track:0W6I02J9xcqK8MtSeosEXb
If I Was A Cowboy,Miranda Lambert,spotify:track:6F7UOC6fPWOkPqybOWBHSv
Shotta Flow 6,NLE Choppa,spotify:track:4GKHIuAyQBWSvrVxoej52H
Vice City,XXXTENTACION,spotify:track:6MOst484piqXpzPPRRe8i5
Numb Little Bug,Em Beihold,spotify:track:3o9kpgkIcffx0iSwxhuNI2
Infinity,Jaymes Young,spotify:track:1SOClUWhOi8vHZYMz3GluK
The Motto,Tiesto & Ava Max,spotify:track:18asYwWugKjjsihZ0YvRxO
Megan's Piano,Megan Thee Stallion,spotify:track:4HyVMzg0sUQsdOxRvSO8Ka
"Colombia, Mi Encanto",Carlos Vives,spotify:track:2Q5q1q01KOdHt5fM00WUJ8
Do We Have A Problem?,Nicki Minaj X Lil Baby,spotify:track:1PNs0uGru3TcrA94kpyGnc
Don't Play That,King Von & 21 Savage,spotify:track:6BczFLHW9aIf9aWn5NFuNL
Cigarettes,Juice WRLD,spotify:track:1CfuBY3BDdKpooQ9L5zgUc
She's All I Wanna Be,Tate McRae,spotify:track:7l9IqDtVWJurTvkQHq1BGh
Scared Money,YG Featuring J. Cole & Moneybagg Yo,spotify:track:4heBcjj4Lw3X2sQVFNbLbz
Emo Girl,Machine Gun Kelly & WILLOW,spotify:track:3tBZ60j1jQ7NJm8IjelyQe
Black Summer,Red Hot Chili Peppers,spotify:track:3a94TbZOxhkI9xuNwYL53b
Doja,$NOT & A$AP Rocky,spotify:track:3zpGLSQ8QbbUnNjweWPLMD
Hate Our Love,Queen Naija & Big Sean,spotify:track:3pEINn37iH5fx8TpXYNGIO
When I'm Gone,Alesso / Katy Perry,spotify:track:5902W4uHWzhtOff1UK7the
MAMIII,Becky G X Karol G,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs
Bussin,Nicki Minaj X Lil Baby,spotify:track:7lcI4X8RZxK4zIknJcwpBq
The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,spotify:track:6N1K5OVVCopBjGViHs2IvP
Still D.R.E.,Dr. Dre Featuring Snoop Dogg,spotify:track:503OTo2dSqe7qk76rgsbep
Worst Day,Future,spotify:track:5xWFnfdUho54EkKjqBtMLx
The Next Episode,Dr. Dre Featuring Snoop Dogg,spotify:track:4LwU4Vp6od3Sb08CsP99GC
Lose Yourself,Eminem,spotify:track:5Z01UMMf7V1o0MzF86s6WJ
City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",spotify:track:4huBDGP4I3S0pYI0EaRN1c
Beers On Me,"Dierks Bentley, BRELAND & HARDY",spotify:track:19ZzEzb4BVK1wVO4brrmZz
Boyfriend,Dove Cameron,spotify:track:59CfNbkERJ3NoTXDvoURjj
Good Morning Gorgeous,Mary J. Blige,spotify:track:77z6mJeFcHlRWVfbOdBCtc
Closer,Saweetie Featuring H.E.R.,spotify:track:1dKe9VEGUSNfzn5MDvm6SJ
Stay Alive,Jung Kook,spotify:track:7CAdT0HdiQNlt1C7xk2hep
Nail Tech,Jack Harlow,spotify:track:3ioJs8DQw527GmqJIp5gZG
Ahhh Ha,Lil Durk,spotify:track:54VFhe501kUbDYj2OrueMp
Banking On Me,Gunna,spotify:track:7Fege3yv4dvehB3NdRBGwI
Poppin,Yeat,spotify:track:3wn8nOygkHLUQ9dlXM1rKW
Pray,Jessie Murph,spotify:track:7MOCaEUbfGyq1K96umNVwJ
Give Heaven Some Hell,HARDY,spotify:track:2QfZuAMc4wMFMFWL2h21Gk
Freaky Deaky,Tyga X Doja Cat,spotify:track:3vySEUpD0tc801F2WZDLYw
I'm Tired,Labrinth & Zendaya,spotify:track:6LtHYDgYHRCHoKK3snfr2w
I Hate YoungBoy,YoungBoy Never Broke Again,spotify:track:3itijJswMR7p7RbfqlYf1Z
Usain Boo,Kodak Black,spotify:track:4N20NYwhJRArlzEhdCKXka
Slow Down Summer,Thomas Rhett,spotify:track:1fff5nZGyRJtFLkOrSSwOU
I Wish,Kodak Black,spotify:track:0FmKMGrNrrf12GmmCYh2eJ
To The Moon!,JNR CHOI & Sam Tompkins,spotify:track:5vUnjhBzRJJIAOJPde6zDx
Rocking A Cardigan In Atlanta,Lil Shordie Scott,spotify:track:0N0h5lXc4HOiLgGb9EZi8m
Bam Bam,Camila Cabello Featuring Ed Sheeran,spotify:track:0QBzMgT7NIeoCYy3sJCof1
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,spotify:track:0QULNNd9z5s35entfiiXoa
Handsomer,Russ Featuring Ktlyn,spotify:track:4v1TTTCadimzZkTuDTnYBc
Publicity Stunt,Gucci Mane,spotify:track:3mDJbXIpV9osy8d3TCw9hh
War,King Von,spotify:track:2SycPOJfYsXXOH77EIn4Nc
Ay!,Machine Gun Kelly & Lil Wayne,spotify:track:1T4tQ4SSagbhAKpvcWg035
Neighborhood Superstar,DaBaby & YoungBoy Never Broke Again,spotify:track:0BN8fpOPq04txIG8VmxKOg
Facetime,King Von Featuring G Herbo,spotify:track:0AfBqvVQowOxKyau7NxUWp
Straight To It,King Von Featuring Fivio Foreign,spotify:track:4RaV9tFFV7R04lglRhgg5O
Evil Twins,King Von & Lil Durk,spotify:track:3gG6t4xCPtnTskhpRFFsqO
Trust Nothing,King Von Featuring Moneybagg Yo,spotify:track:41jxlPqpPqiky977DkJrpY
Sweetest Pie,Megan Thee Stallion & Dua Lipa,spotify:track:7mFj0LlWtEJaEigguaWqYh
What Happened To Virgil,Lil Durk Featuring Gunna,spotify:track:7ohROa13QK43JBRqfCmz4P
Petty Too,Lil Durk Featuring Future,spotify:track:0VlpgNPHWCyh8xxLcaK2fp
No Interviews,Lil Durk,spotify:track:1tXDziDamT0we73CTDsgsv
Golden Child,Lil Durk,spotify:track:0SCbpbPIjHh90v4hsp8ohl
Thinking With My Dick,Kevin Gates Featuring Juicy J,spotify:track:1ojBtNRMzjL7ptLPZCzfRz
Something In The Way,Nirvana,spotify:track:1nFtiJxYdhtFfFtfXBv06s
Barbarian,Lil Durk,spotify:track:6DPEzXUB3ZVzT2NDh7MkJt
Shootout @ My Crib,Lil Durk,spotify:track:23PzodQrNGxbywlba84Rva
Started From,Lil Durk,spotify:track:03cBu30KbreokkrclGPQf8
Headtaps,Lil Durk,spotify:track:3HWQrKGmb05pcNoTIzzBwL
Smoking & Thinking,Lil Durk,spotify:track:1OybHaoLAhB6biFWfaCVDw
Grow Up/Keep It On Speaker,Lil Durk,spotify:track:4AP3P2EVKANYuJk3Fi3v6Y
Blocklist,Lil Durk,spotify:track:79cq3PF1wgkDVTAFMlOjNB
Difference Is,Lil Durk Featuring Summer Walker,spotify:track:1qzoBWC6US7szlOsIQ1VxZ
Federal Nightmares,Lil Durk,spotify:track:4W730PJT4aw79pZ9D8BLhl
Bones,Imagine Dragons,spotify:track:0HqZX76SFLDz2aW8aiqi7G
Pissed Me Off,Lil Durk,spotify:track:0fFeockUN32c4z1bguUIQH
Blick Blick!,Coi Leray & Nicki Minaj,spotify:track:7LczcBaamU9pTkV4Cl9NyX
Nobody Like U,4*TOWN (From Disney And Pixar's Turning Red),spotify:track:4bV5sf2B4hWBBd5HQ8S7KB
Sometimes,Juice WRLD,spotify:track:3i6sCTU7ENlnHpHvrHUitW
Computer Murderers,Lil Durk,spotify:track:4N9YvASsNimNYJmSAVHA9f
Ghost Story,Carrie Underwood,spotify:track:2FGOg7uYBfnspkPOISXTFY
Tom's Diner,AnnenMayKantereit & Giant Rooks,spotify:track:0oA9wBGDY4uyILLg4GymWP
Maybe,Machine Gun Kelly & Bring Me The Horizon,spotify:track:25wdC7CJmCJPgnKw9rYquJ
Over,Lucky Daye,spotify:track:1DOgkaR5Gqa8JtPEIbQORC
Money So Big,Yeat,spotify:track:4Se3fXoHJkcraQzJXo2IYn
She Likes It,Russell Dickerson & Jake Scott,spotify:track:6VVqPBFZIbcmv14zNfOc13
IDGAF,BoyWithUke X blackbear,spotify:track:6Jrdb6CFOJEGaHjaa6c4WR
Soy El Unico,Yahritza y Su Esencia,spotify:track:4pKhxDtzoLPVy4GzW1ibAz
Wasted On You,Morgan Wallen,spotify:track:3cBsEDNhFI9E82vPj3kvi3
We Go Up,Nicki Minaj & Fivio Foreign,spotify:track:3zQ61IRdlSbEyYQlwQZZxS
Make Up Sex,Machine Gun Kelly X blackbear,spotify:track:50eJOxJiGmJ7PBZaTKpje1
X Ultima Vez,Daddy Yankee & Bad Bunny,spotify:track:48AJSd42lXpicsGqcgopof
Envolver,Anitta,spotify:track:3IAfUEeaXRX9s9UdKOJrFI
Chaotic,Tate McRae,spotify:track:4bt7eqP7mfWduRBKEpCAzM
Sigue,J Balvin & Ed Sheeran,spotify:track:0bBd6K5X4W7t9GyXcaVOA7
As It Was,Harry Styles,spotify:track:4Dvkj6JhhA12EX05fT7y2e
In My Head,Lil Tjay,spotify:track:1HvTxgCj0mTzQlEo0zLvFb
When You're Gone,Shawn Mendes,spotify:track:0U1W2LZVUX7qTm7dDpqxh6
