title,artist,debut
Pleasant Valley Sunday,The Monkees,1967-07-22
Baby I Love You,Aretha Franklin,1967-07-22
All You Need Is Love,The Beatles,1967-07-22
It's A Happening World,The Tokens,1967-07-22
Words,The Monkees,1967-07-22
Shoot Your Shot,Jr. Walker & The All Stars,1967-07-22
The Sweetest Thing This Side Of Heaven,Chris Bartley,1967-07-22
I Can't Go On Livin' Baby Without You,Nino Tempo & April Stevens,1967-07-22
Don't You Miss Me A Little Bit Baby,Jimmy Ruffin,1967-07-22
Come Back When You Grow Up,Bobby Vee And The Strangers,1967-07-22
Let It Be Me,The Sweet Inspirations,1967-07-22
The Look Of Love,Dusty Springfield,1967-07-22
Slippin' & Slidin',Willie Mitchell,1967-07-22
I'll Never Find Another You,Sonny James,1967-07-22
Baby You're A Rich Man,The Beatles,1967-07-29
You're My Everything,The Temptations,1967-07-29
Glory Of Love,Otis Redding,1967-07-29
Slim Jenkin's Place,Booker T. & The MG's,1967-07-29
The Windows Of The World,Dionne Warwick,1967-07-29
Cry Softly Lonely One,Roy Orbison,1967-07-29
Fakin' It,Simon & Garfunkel,1967-07-29
Nearer To You,Betty Harris,1967-07-29
Pearl Time,Andre Williams,1967-07-29
It's Been A Long Long Time,The Elgins,1967-07-29
Darling Be Home Soon,Bobby Darin,1967-07-29
Devil's Angels,Davie Allan And The Arrows,1967-07-29
Happy And Me,Don And The Goodtimes,1967-07-29
Lonesome Road,The Wonder Who?,1967-07-29
Heroes And Villains,The Beach Boys,1967-08-05
Ode To Billie Joe,Bobbie Gentry,1967-08-05
San Franciscan Nights,Eric Burdon & The Animals,1967-08-05
You Know What I Mean,The Turtles,1967-08-05
The World We Knew (Over And Over),Frank Sinatra,1967-08-05
Ha Ha Said The Clown,The Yardbirds,1967-08-05
I Want To Love You For What You Are,Ronnie Dove,1967-08-05
A Woman's Hands,Joe Tex,1967-08-05
Groovin',Booker T. & The MG's,1967-08-05
Funky Broadway,Wilson Pickett,1967-08-05
Not So Sweet Martha Lorraine,Country Joe & The Fish,1967-08-05
Along Comes Mary,Baja Marimba Band,1967-08-05
"Run, Run, Run",The Third Rail,1967-08-05
It Could Be We're In Love,The Cryan' Shames,1967-08-05
Good Day Sunshine,Claudine Longet,1967-08-05
Reflections,Diana Ross & The Supremes,1967-08-12
It's The Little Things,Sonny & Cher,1967-08-12
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,1967-08-12
Things I Should Have Said,The Grass Roots,1967-08-12
The Letter,The Box Tops,1967-08-12
Jill,Gary Lewis And The Playboys,1967-08-12
Gimme Little Sign,Brenton Wood,1967-08-12
There Is A Mountain,Donovan,1967-08-12
Zip Code,The Five Americans,1967-08-12
Turn On Your Love Light,"Oscar Toney, Jr.",1967-08-12
Sixteen Tons,Tom Jones,1967-08-12
"Laura, What's He Got That I Ain't Got",Frankie Laine,1967-08-12
A Little Bit Now,The Dave Clark Five,1967-08-12
Get The Message,Brian Hyland,1967-08-12
Knock On Wood,Otis & Carla,1967-08-12
There Must Be A Way,Jimmy Roselli,1967-08-12
It's Got To Be Mellow,Leon Haywood,1967-08-12
Little Old Wine Drinker Me,Robert Mitchum,1967-08-12
Just Once In A Lifetime,Brenda & The Tabulations,1967-08-12
I Dig Rock And Roll Music,"Peter, Paul & Mary",1967-08-19
"Little Ole Wine Drinker, Me",Dean Martin,1967-08-19
I Had A Dream,Paul Revere & The Raiders Featuring Mark Lindsay,1967-08-19
You've Got To Pay The Price,Al Kent,1967-08-19
Lady Friend,The Byrds,1967-08-19
Making Every Minute Count,Spanky And Our Gang,1967-08-19
Anything Goes,Harpers Bizarre,1967-08-19
Laura (Tell Me What He's Got That I Ain't Got),Brook Benton,1967-08-19
Get On Up,The Esquires,1967-08-19
Love Bug Leave My Heart Alone,Martha & The Vandellas,1967-08-19
Turn The World Around,Eddy Arnold,1967-08-19
Come On Sock It To Me,Syl Johnson,1967-08-19
Last Minute Miracle,The Shirelles,1967-08-19
Drums,Jon & Robin,1967-08-19
Twelve Thirty (Young Girls Are Coming To The Canyon),The Mamas & The Papas,1967-08-26
Gettin' Together,Tommy James And The Shondells,1967-08-26
Museum,Herman's Hermits,1967-08-26
I Feel Good (I Feel Bad),The Lewis & Clarke Expedition,1967-08-26
Never My Love,The Association,1967-08-26
Put Your Mind At Ease,Every Mothers' Son,1967-08-26
Memphis Soul Stew,King Curtis,1967-08-26
In The Heat Of The Night,Ray Charles,1967-08-26
There's Always Me,Elvis Presley With The Jordanaires,1967-08-26
Tell Him,Patti Drew,1967-08-26
Stout-Hearted Men,Barbra Streisand,1967-08-26
I Make A Fool Of Myself,Frankie Valli,1967-08-26
Purple Haze,The Jimi Hendrix Experience,1967-08-26
Casonova (Your Playing Days Are Over),Ruby Andrews,1967-08-26
How Can You Mistreat The One You Love,Jean & The Darlings,1967-08-26
Love Is A Doggone Good Thing,Eddie Floyd,1967-08-26
Little Ole Man (Uptight-Everything's Alright),Bill Cosby,1967-09-02
The Cat In The Window (The Bird In The Sky),Petula Clark,1967-09-02
Just Out Of Reach (Of My Two Empty Arms),Percy Sledge,1967-09-02
It Must Be Him,Vikki Carr,1967-09-02
Take A Look,Aretha Franklin,1967-09-02
Expressway (To Your Heart),Soul Survivors,1967-09-02
Ballad Of You & Me & Pooneil,Jefferson Airplane,1967-09-02
Knucklehead,Bar-Kays,1967-09-02
Get Together,The Youngbloods,1967-09-02
I Can't Stay Away From You,The Impressions,1967-09-02
Paper Sun,Traffic featuring Stevie Winwood,1967-09-02
Penny Arcade,The Cyrkle,1967-09-02
There Goes The Lover,Gene Chandler,1967-09-02
Requiem For The Masses,The Association,1967-09-02
Your Precious Love,Marvin Gaye & Tammi Terrell,1967-09-09
To Sir With Love,Lulu,1967-09-09
Dandelion,The Rolling Stones,1967-09-09
A Banda (Ah Bahn-da),Herb Alpert & The Tijuana Brass,1967-09-09
Let Love Come Between Us,James & Bobby Purify,1967-09-09
Soul Man,Sam & Dave,1967-09-09
How Can I Be Sure,The Young Rascals,1967-09-09
You've Made Me So Very Happy,Brenda Holloway,1967-09-09
What Now My Love,Mitch Ryder,1967-09-09
Hey Baby (They're Playing Our Song),The Buckinghams,1967-09-09
I'll Never Fall In Love Again,Tom Jones,1967-09-09
Judy,Elvis Presley,1967-09-09
Sweet Soul Medley - Part 1,The Magnificent Men,1967-09-09
Our Song,Jack Jones,1967-09-09
Sunshine Games,The Music Explosion,1967-09-09
Hey Joe,Cher,1967-09-09
Spreadin' Honey,The Watts 103rd Street Rhythm Band,1967-09-09
Forget It,The Sandpebbles,1967-09-09
Wednesday,The Royal Guardsmen,1967-09-09
You're A Very Lovely Woman,The Merry-Go-Round,1967-09-09
You Keep Running Away,Four Tops,1967-09-16
We Love You,The Rolling Stones,1967-09-16
Baby I'm Lonely,The Intruders,1967-09-16
Let It Out (Let It All Hang Out),The Hombres,1967-09-16
Louisiana Man,Pozo Seco Singers,1967-09-16
Karate-Boo-Ga-Loo,Jerryo,1967-09-16
Time Seller,The Spencer Davis Group,1967-09-16
People Are Strange,The Doors,1967-09-23
Child Of Clay,Jimmie Rodgers,1967-09-23
Lightning's Girl,Nancy Sinatra,1967-09-23
Ode To Billie Joe,The Kingpins,1967-09-23
The Last Waltz,Engelbert Humperdinck,1967-09-23
Why Do Fools Fall In Love,The Happenings,1967-09-23
To Share Your Love,Fantastic Four,1967-09-23
For What It's Worth,The Staple Singers,1967-09-23
More Than The Eye Can See,Al Martino,1967-09-23
Fall In Love With Me,Bettye Swann,1967-09-23
Dancing In The Street,Ramsey Lewis,1967-09-23
Dirty Man,Laura Lee,1967-09-23
Funky Donkey,Pretty Purdie,1967-09-23
Nine Pound Steel,Joe Simon,1967-09-23
I'm A Fool For You,James Carr,1967-09-23
Love Is Strange,Peaches & Herb,1967-09-30
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1967-09-30
Rock 'N' Roll Woman,Buffalo Springfield,1967-09-30
Please Love Me Forever,Bobby Vinton,1967-09-30
Even The Bad Times Are Good,The Tremeloes,1967-09-30
Everlasting Love,Robert Knight,1967-09-30
Holiday,Bee Gees,1967-09-30
Incense And Peppermints,Strawberry Alarm Clock,1967-09-30
"The Rain, The Park & Other Things",The Cowsills,1967-09-30
Hush,Billy Joe Royal,1967-09-30
What've I Done (To Make You Mad),Linda Jones,1967-09-30
Ode To Billy Joe,Ray Bryant,1967-09-30
Stranded In The Middle Of Noplace,The Righteous Brothers,1967-09-30
When The Snow Is On The Roses,Ed Ames,1967-09-30
I'm Wondering,Stevie Wonder,1967-10-07
King Midas In Reverse,The Hollies,1967-10-07
If This Is Love (I'd Rather Be Lonely),The Precisions,1967-10-07
Shout Bamalama,Mickey Murray,1967-10-07
Heart Be Still,Lorraine Ellison,1967-10-07
Peas 'N' Rice,Freddie McCoy,1967-10-07
Pata Pata,Miriam Makeba,1967-10-07
Boogaloo Down Broadway,The Fantastic Johnny C,1967-10-07
"You, No One But You",Frankie Laine,1967-10-07
"Beg, Borrow And Steal",Ohio Express,1967-10-07
Walkin' Proud,The Pete Klint Quintet,1967-10-07
You Mean The World To Me,David Houston,1967-10-07
(Loneliness Made Me Realize) It's You That I Need,The Temptations,1967-10-14
Big Boss Man,Elvis Presley,1967-10-14
I Can See For Miles,The Who,1967-10-14
Kentucky Woman,Neil Diamond,1967-10-14
Lazy Day,Spanky And Our Gang,1967-10-14
Go With Me,Gene And Debbe,1967-10-14
Get Down,Harvey Scales,1967-10-14
You Don't Know Me,Elvis Presley With The Jordanaires,1967-10-14
Different Strokes,Syl Johnson,1967-10-14
Give Everybody Some,The Bar-Kays,1967-10-14
All Your Goodies Are Gone (The Loser's Seat),The Parliaments,1967-10-14
Lovey Dovey/You're So Fine,Bunny Sigler,1967-10-14
Shame On Me,Chuck Jackson,1967-10-14
I Heard It Through The Grapevine,Gladys Knight And The Pips,1967-10-21
I Say A Little Prayer,Dionne Warwick,1967-10-21
Lady Bird,Nancy Sinatra & Lee Hazlewood,1967-10-21
Mr. Dream Merchant,Jerry Butler,1967-10-21
Like An Old Time Movie,Scott McKenzie,1967-10-21
Are You Never Coming Home,Sandy Posey,1967-10-21
Can't Stop Loving You,The Last Word,1967-10-21
Brink Of Disaster,Lesley Gore,1967-10-21
Go-Go Girl,Lee Dorsey,1967-10-21
Keep The Ball Rollin',Jay And The Techniques,1967-10-21
Next Plane To London,The Rose Garden,1967-10-21
Believe In Me Baby - Part I,Jesse James,1967-10-21
"To Sir, With Love",Herbie Mann,1967-10-21
"Sweet, Sweet Lovin'",The Platters,1967-10-21
Back On The Street Again,The Sunshine Company,1967-10-21
Glad To Be Unhappy,The Mamas & The Papas,1967-10-28
She Is Still A Mystery,The Lovin' Spoonful,1967-10-28
Get It Together (Part 1),James Brown And The Famous Flames,1967-10-28
Homburg,Procol Harum,1967-10-28
"Wake Up, Wake Up",The Grass Roots,1967-10-28
Watch The Flowers Grow,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",1967-10-28
This Town,Frank Sinatra,1967-10-28
You Better Sit Down Kids,Cher,1967-10-28
Out Of The Blue,Tommy James And The Shondells,1967-10-28
Suzanne,Noel Harrison,1967-10-28
By The Time I Get To Phoenix,Glen Campbell,1967-10-28
For Once In My Life,Tony Bennett,1967-10-28
Skinny Legs And All,Joe Tex,1967-10-28
You Are My Sunshine,Mitch Ryder,1967-10-28
Birds Of Britain,Bob Crewe Generation,1967-10-28
Lapland,The Baltimore And Ohio Marching Band,1967-10-28
Desiree',The Left Banke,1967-10-28
On A Saturday Night,Eddie Floyd,1967-10-28
Stag-O-Lee,Wilson Pickett,1967-11-04
Wild Honey,The Beach Boys,1967-11-04
Whole Lotta Woman,Arthur Conley,1967-11-04
When You're Gone,Brenda & The Tabulations,1967-11-04
I Second That Emotion,Smokey Robinson & The Miracles,1967-11-04
Paper Cup,The 5th Dimension,1967-11-04
"O-O, I Love You",The Dells,1967-11-04
Alligator Bogaloo,Lou Donaldson,1967-11-04
Piece Of My Heart,Erma Franklin,1967-11-04
Yesterday,Ray Charles,1967-11-11
In And Out Of Love,Diana Ross & The Supremes,1967-11-11
She's My Girl,The Turtles,1967-11-11
(The Lights Went Out In) Massachusetts,Bee Gees,1967-11-11
Soul Man,Ramsey Lewis,1967-11-11
An Open Letter To My Teenage Son,Victor Lundberg,1967-11-11
Neon Rainbow,The Box Tops,1967-11-11
Different Drum,Stone Poneys Featuring Linda Ronstadt,1967-11-11
Itchycoo Park,Small Faces,1967-11-11
Where Is The Party,Helena Ferguson,1967-11-11
Pony With The Golden Mane,Every Mothers' Son,1967-11-11
Tell Mama,Etta James,1967-11-11
He Ain't Give You None,Freddie Scott,1967-11-11
Daydream Believer,The Monkees,1967-11-18
Honey Chile,Martha Reeves & The Vandellas,1967-11-18
Beautiful People,Kenny O'Dell,1967-11-18
Beautiful People,Bobby Vee And The Strangers,1967-11-18
Summer Rain,Johnny Rivers,1967-11-18
"Woman, Woman",The Union Gap Featuring Gary Puckett,1967-11-18
Peace Of Mind,Paul Revere & The Raiders Featuring Mark Lindsay,1967-11-18
Georgia Pines,The Candymen,1967-11-18
What's It Gonna Be,Dusty Springfield,1967-11-18
Red And Blue,The Dave Clark Five,1967-11-18
Goin' Back,The Byrds,1967-11-18
Ten Little Indians,The Yardbirds,1967-11-18
Chattanooga Choo Choo,Harpers Bizarre,1967-11-18
Ooh Baby,Deon Jackson,1967-11-18
Felicidad,Sally Field,1967-11-18
And Get Away,The Esquires,1967-11-25
Since You Showed Me How To Be Happy,Jackie Wilson,1967-11-25
Love Power,The Sandpebbles,1967-11-25
Wear Your Love Like Heaven,Donovan,1967-11-25
Cover Me,Percy Sledge,1967-11-25
Baby You Got It,Brenton Wood,1967-11-25
Okolona River Bottom Band,Bobbie Gentry,1967-11-25
Windy,Wes Montgomery,1967-11-25
Come See About Me,Jr. Walker & The All Stars,1967-11-25
Too Much Of Nothing,"Peter, Paul & Mary",1967-11-25
Can't Help But Love You,The Standells,1967-11-25
I'll Be Sweeter Tomorrow (Than I Was Today),The O'Jays,1967-11-25
A Letter To Dad,Every Father's Teenage Son,1967-11-25
Judy In Disguise (With Glasses),John Fred And The Playboys,1967-11-25
For What It's Worth,King Curtis & The Kingpins,1967-11-25
Hello Goodbye,The Beatles,1967-12-02
If I Could Build My Whole World Around You,Marvin Gaye & Tammi Terrell,1967-12-02
"Bend Me, Shape Me",The American Breed,1967-12-02
The Other Man's Grass Is Always Greener,Petula Clark,1967-12-02
Hooray For The Salvation Army Band,Bill Cosby,1967-12-02
Sockin' 1-2-3-4,John Roberts,1967-12-02
Storybook Children,Billy Vera & Judy Clay,1967-12-02
I'm In Love,Wilson Pickett,1967-12-02
"Wanted: Lover, No Experience Necessary",Laura Lee,1967-12-02
Tony Rome,Nancy Sinatra,1967-12-02
Dear Eloise,The Hollies,1967-12-02
In The Misty Moonlight,Dean Martin,1967-12-02
Here Comes Heaven,Eddy Arnold,1967-12-02
A Love That's Real,The Intruders,1967-12-02
Something's Missing,5 Stairsteps and Cubie,1967-12-02
Cross My Heart,Billy Stewart,1967-12-02
Live For Life,Jack Jones,1967-12-02
I Am The Walrus,The Beatles,1967-12-09
Chain Of Fools,Aretha Franklin,1967-12-09
It's Wonderful,The Young Rascals,1967-12-09
Susan,The Buckinghams,1967-12-09
Love Me Two Times,The Doors,1967-12-09
I Can't Stand Myself (When You Touch Me),James Brown And The Famous Flames,1967-12-09
Up-Up And Away,Hugh Masekela,1967-12-09
Goin' Out Of My Head/Can't Take My Eyes Off You,The Lettermen,1967-12-09
Back Up Train,Al Greene & The Soul Mate's,1967-12-09
Dancing Bear,The Mamas & The Papas,1967-12-09
Nobody But Me,The Human Beinz,1967-12-09
A Voice In The Choir,Al Martino,1967-12-09
Green Tambourine,The Lemon Pipers,1967-12-16
Who Will Answer?,Ed Ames,1967-12-16
Best Of Both Worlds,Lulu,1967-12-16
Watch Her Ride,Jefferson Airplane,1967-12-16
My Baby Must Be A Magician,The Marvelettes,1967-12-16
Good Combination,Sonny & Cher,1967-12-16
Monterey,Eric Burdon & The Animals,1967-12-16
Everybody Knows,The Dave Clark Five,1967-12-16
Am I That Easy To Forget,Engelbert Humperdinck,1967-12-16
Two Little Kids,Peaches & Herb,1967-12-16
Somebody's Sleeping In My Bed,Johnnie Taylor,1967-12-16
In Another Land,Bill Wyman,1967-12-16
Dancin' Out Of My Heart,Ronnie Dove,1967-12-16
A Little Rain Must Fall,The Epic Splendor,1967-12-16
Explosion (In Your Soul),Soul Survivors,1967-12-23
Foxey Lady,Jimi Hendrix,1967-12-23
"Baby, Now That I've Found You",The Foundations,1967-12-23
Darlin',The Beach Boys,1967-12-23
Skip A Rope,Henson Cargill,1967-12-23
The Lesson,Vikki Carr,1967-12-23
Spooky,Classics IV,1967-12-23
I Wonder What She's Doing Tonite,Tommy Boyce & Bobby Hart,1967-12-23
Mr. Bus Driver,Bruce Channel,1967-12-23
Mockingbird,Aretha Franklin,1967-12-23
I Call It Love,The Manhattans,1967-12-23
"Oh, How It Hurts",Barbara Mason,1967-12-23
"Up Tight, Good Man",Laura Lee,1967-12-23
She's A Rainbow,The Rolling Stones,1967-12-30
To Give (The Reason I Live),Frankie Valli,1967-12-30
Tomorrow,Strawberry Alarm Clock,1967-12-30
I'm Coming Home,Tom Jones,1967-12-30
Pick Up The Pieces,Carla Thomas,1967-12-30
Just As Much As Ever,Bobby Vinton,1967-12-30
Lost,Jerry Butler,1967-12-30
I Was Made To Love Her,King Curtis & The Kingpins,1967-12-30
United (Part 1),The Music Makers,1967-12-30
Mellow Moonlight,Leon Haywood,1967-12-30
We're A Winner,The Impressions,1967-12-30
Bottle Of Wine,The Fireballs,1967-12-30
Some Velvet Morning,Nancy Sinatra & Lee Hazlewood,1968-01-06
A Working Man's Prayer,Arthur Prysock,1968-01-06
No Sad Songs,Joe Simon,1968-01-06
Zabadak,"Dave Dee, Dozy, Beaky, Mick And Tich",1968-01-06
Money,The Lovin' Spoonful,1968-01-06
Sunday Mornin',Spanky And Our Gang,1968-01-06
Mission-Impossible,Lalo Schifrin,1968-01-06
A Man Needs A Woman,James Carr,1968-01-06
New Orleans,Neil Diamond,1968-01-06
Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,1968-01-06
Born Free,The Hesitations,1968-01-06
I Wish It Would Rain,The Temptations,1968-01-13
Sunshine Of Your Love,Cream,1968-01-13
We Can Fly,The Cowsills,1968-01-13
I Can Take Or Leave Your Loving,Herman's Hermits,1968-01-13
You,Marvin Gaye,1968-01-13
Do Unto Me,James & Bobby Purify,1968-01-13
Carmen,Herb Alpert & The Tijuana Brass,1968-01-13
Without Love (There Is Nothing),"Oscar Toney, Jr.",1968-01-13
(1-2-3-4-5-6-7) Count The Days,Inez & Charlie Foxx,1968-01-13
Let The Heartaches Begin,Long John Baldry,1968-01-13
Expecting To Fly,Buffalo Springfield,1968-01-13
Funky Way,Calvin Arnold,1968-01-13
(Theme From) Valley Of The Dolls,Dionne Warwick,1968-01-20
Words,Bee Gees,1968-01-20
Strawberry Shortcake,Jay And The Techniques,1968-01-20
There Was A Time,James Brown And The Famous Flames,1968-01-20
There Is,The Dells,1968-01-20
Hey Little One,Glen Campbell,1968-01-20
Looking For A Fox,Clarence Carter,1968-01-20
Hey Boy Take A Chance On Love,Ruby Andrews,1968-01-20
Give My Love A Try,Linda Jones,1968-01-20
To Each His Own,Frankie Laine,1968-01-20
Blessed Are The Lonely,Robert Knight,1968-01-20
(Sittin' On) The Dock Of The Bay,Otis Redding,1968-01-27
I Thank You,Sam & Dave,1968-01-27
Simon Says,1910 Fruitgum Co.,1968-01-27
Get Out Now,Tommy James And The Shondells,1968-01-27
Stop,Howard Tate,1968-01-27
Guitar Man,Elvis Presley,1968-01-27
A Million To One,Five Stairsteps & Cubie,1968-01-27
Malayisha,Miriam Makeba,1968-01-27
Rosanna's Going Wild,Johnny Cash,1968-01-27
Cab Driver,The Mills Brothers,1968-01-27
7:30 Guided Tour,The Five Americans,1968-01-27
No One Knows,Every Mothers' Son,1968-01-27
Keep The Ball Rollin',Al Hirt,1968-01-27
Everything That Touches You,The Association,1968-02-03
Walk Away Renee,Four Tops,1968-02-03
Cold Feet,Albert King,1968-02-03
Burning Spear,The Soulful Strings,1968-02-03
Try It,Ohio Express,1968-02-03
La - La - Means I Love You,The Delfonics,1968-02-03
People World,Jim & Jean,1968-02-03
Carpet Man,The 5th Dimension,1968-02-03
It's Not Easy,The Will-O-Bees,1968-02-03
(You've Got) Personality And Chantilly Lace,Mitch Ryder,1968-02-03
Just Dropped In (To See What Condition My Condition Was In),The First Edition,1968-02-10
"Look, Here Comes The Sun",The Sunshine Company,1968-02-10
The End Of Our Road,Gladys Knight And The Pips,1968-02-10
Dance To The Music,Sly & The Family Stone,1968-02-10
Love Is Blue,Al Martino,1968-02-10
Too Much Talk,Paul Revere & The Raiders Featuring Mark Lindsay,1968-02-10
"Here Comes The Rain, Baby",Eddy Arnold,1968-02-10
Thank U Very Much,The Scaffold,1968-02-10
I'm Gonna Make You Love Me,Madeline Bell,1968-02-10
Maybe Just Today,Bobby Vee And The Strangers,1968-02-10
Where Is My Mind,The Vanilla Fudge,1968-02-10
You Don't Have To Say You Love Me,The Four Sonics,1968-02-10
Lovey Dovey,Otis & Carla,1968-02-10
Men Are Gettin' Scarce,Joe Tex,1968-02-10
Got What You Need,The Fantastic Johnny C,1968-02-10
Gentle On My Mind,Patti Page,1968-02-10
Country Girl - City Man,Billy Vera & Judy Clay,1968-02-17
The Ballad Of Bonnie And Clyde,Georgie Fame,1968-02-17
For Your Precious Love,Jackie Wilson & Count Basie,1968-02-17
In The Midnight Hour,The Mirettes,1968-02-17
This Is The Thanks I Get,Barbara Lynn,1968-02-17
Jealous Love,Wilson Pickett,1968-02-17
Night Fo' Last,Shorty Long,1968-02-17
I Say Love,The Royal Guardsmen,1968-02-17
Unchain My Heart,Herbie Mann,1968-02-17
Kiss Me Goodbye,Petula Clark,1968-02-17
Playboy,Gene And Debbe,1968-02-17
"(Mama Come Quick, and Bring Your) Lickin' Stick",George Torrence & The Naturals,1968-02-17
If You Ever Leave Me,Jack Jones,1968-02-17
Love Explosion,Troy Keyes,1968-02-17
"The Good, The Bad And The Ugly","Hugo Montenegro, His Orchestra And Chorus",1968-02-17
I'm Hypnotized,Anthony & The Imperials,1968-02-17
Music Music Music,The Happenings,1968-02-17
Suddenly You Love Me,The Tremeloes,1968-02-17
A Question Of Temperature,The Balloon Farm,1968-02-24
Will You Love Me Tomorrow,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",1968-02-24
The Ten Commandments Of Love,Peaches & Herb,1968-02-24
Soulville,Aretha Franklin,1968-02-24
If You Can Want,Smokey Robinson & The Miracles,1968-02-24
That's A Lie,Ray Charles,1968-02-24
The Son Of Hickory Holler's Tramp,O.C. Smith,1968-02-24
Hey Hey Bunny,John Fred And The Playboys,1968-02-24
Green Light,The American Breed,1968-02-24
Springfield Plane,Kenny O'Dell,1968-02-24
Love Is Blue (L'Amour Est Bleu),Claudine Longet,1968-02-24
Love Is All Around,The Troggs,1968-02-24
Ame Caline (Soul Coaxing),Raymond Lefevre and His Orchestra,1968-02-24
Love Is Blue (L'Amour Est Bleu),Manny Kellem - His Orchestra And Voices,1968-02-24
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,1968-03-02
Cry Like A Baby,The Box Tops,1968-03-02
Scarborough Fair (/Canticle),Simon & Garfunkel,1968-03-02
Little Green Apples,Roger Miller,1968-03-02
Mighty Quinn (Quinn The Eskimo),Manfred Mann,1968-03-02
If This World Were Mine,Marvin Gaye & Tammi Terrell,1968-03-02
Security,Etta James,1968-03-02
L. David Sloane,Michele Lee,1968-03-02
Young Girl,The Union Gap Featuring Gary Puckett,1968-03-02
Sweet Inspiration,The Sweet Inspirations,1968-03-02
Summertime Blues,Blue Cheer,1968-03-02
Sound Asleep,The Turtles,1968-03-02
Funky North Philly,Bill Cosby,1968-03-02
Foggy Mountain Breakdown,Flatt & Scruggs,1968-03-02
Dear Delilah,Grapefruit,1968-03-02
Sally Was A Good Old Girl,Trini Lopez,1968-03-02
You've Got To Be Loved,The Montanas,1968-03-02
Valleri,The Monkees,1968-03-09
Tapioca Tundra,The Monkees,1968-03-09
Soul Serenade,Willie Mitchell,1968-03-09
Rice Is Nice,The Lemon Pipers,1968-03-09
I'll Say Forever My Love,Jimmy Ruffin,1968-03-09
Jennifer Juniper,Donovan,1968-03-09
(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,1968-03-09
Back On My Feet Again,The Foundations,1968-03-09
Turn On Your Love Light,The Human Beinz,1968-03-09
(You Can't Let The Boy Overpower) The Man In You,Chuck Jackson,1968-03-09
Driftin' Blues,Bobby Bland,1968-03-09
Have A Little Faith,David Houston,1968-03-09
Lovey Dovey Kinda Lovin',Brenton Wood,1968-03-09
I Got The Feelin',James Brown And The Famous Flames,1968-03-16
Forever Came Today,Diana Ross & The Supremes,1968-03-16
Take Time To Know Her,Percy Sledge,1968-03-16
Sit With The Guru,Strawberry Alarm Clock,1968-03-16
Jennifer Eccles,The Hollies,1968-03-16
Funky Street,Arthur Conley,1968-03-16
Tin Soldier,Small Faces,1968-03-16
Stay Away,Elvis Presley With The Jordanaires,1968-03-16
In Need Of A Friend,The Cowsills,1968-03-16
Baby You're So Right For Me,Brenda & The Tabulations,1968-03-16
1941,Tom Northcott,1968-03-16
At The Top Of The Stairs,The Formations,1968-03-16
The Impossible Dream,The Hesitations,1968-03-16
The Father Of Girls,Perry Como,1968-03-16
Up From The Skies,The Jimi Hendrix Experience,1968-03-16
Dr. Jon (The Medicine Man),Jon & Robin And The In Crowd,1968-03-16
Delilah,Tom Jones,1968-03-16
In Some Time,Ronnie Dove,1968-03-16
Lady Madonna,The Beatles,1968-03-23
Honey,Bobby Goldsboro,1968-03-23
U.S. Male,Elvis Presley With The Jordanaires,1968-03-23
The Unicorn,The Irish Rovers,1968-03-23
Come To Me Softly,Jimmy James & The Vagabonds,1968-03-23
Cowboys To Girls,The Intruders,1968-03-23
You've Still Got A Place In My Heart,Dean Martin,1968-03-23
"Me, The Peaceful Heart",Lulu,1968-03-23
100 Years,Nancy Sinatra,1968-03-23
Sherry Don't Go,The Lettermen,1968-03-23
She'll Be There,Vikki Carr,1968-03-23
The Unknown Soldier,The Doors,1968-03-30
Call Me Lightning,The Who,1968-03-30
Tighten Up,Archie Bell & The Drells,1968-03-30
Take Good Care Of My Baby,Bobby Vinton,1968-03-30
Cinderella Rockefella,Esther & Abi Ofarim,1968-03-30
Show Time,Detroit Emeralds,1968-03-30
Your Heart Is Free Just Like The Wind,Vikki Carr,1968-03-30
Up To My Neck In High Muddy Water,Linda Ronstadt & The Stone Poneys,1968-03-30
Master Jack,Four Jacks And A Jill,1968-03-30
I Will Always Think About You,The New Colony Six,1968-03-30
The Inner Light,The Beatles,1968-03-30
Another Place Another Time,Jerry Lee Lewis,1968-03-30
Goodbye Baby (I Don't Want To See You Cry),Tommy Boyce & Bobby Hart,1968-04-06
Shoo-Be-Doo-Be-Doo-Da-Day,Stevie Wonder,1968-04-06
Look To Your Soul,Johnny Rivers,1968-04-06
Ain't No Way,Aretha Franklin,1968-04-06
I Got A Sure Thing,Ollie & The Nightingales,1968-04-06
Up On The Roof,The Cryan' Shames,1968-04-06
I Wanna Live,Glen Campbell,1968-04-06
Jumbo,Bee Gees,1968-04-06
Mony Mony,Tommy James And The Shondells,1968-04-06
I Love You,People,1968-04-06
Chain Of Fools (Part 1),Jimmy Smith,1968-04-06
A Beautiful Morning,The Rascals,1968-04-13
She's Lookin' Good,Wilson Pickett,1968-04-13
Red Red Wine,Neil Diamond,1968-04-13
